Regularizer	FC1	FC2	genre	variant	epoch	train_loss	train_accuracy	train_fscore	test_loss	test_accuracy	test_fscore
L2=1e-6	256	256	Animation	regularizer L2	10	1.27063421109	0.931689157565	0.368414219544	NaN	0.936954412646	NaN
L1=1e-5	256	256	Animation	base	1	1.76293392209	0.741507677829	0.136562770027	NaN	0.935845918878	NaN
L1=1e-5	256	256	Animation	base	2	1.62803118869	0.897394136658	0.21615737593	NaN	0.918525702788	NaN
L1=1e-5	256	256	Animation	base	3	1.55122820841	0.914937179035	0.251832891992	NaN	0.919541822182	NaN
L1=1e-5	256	256	Animation	base	4	1.4831208924	0.917961841897	0.284978279015	NaN	0.927901713247	NaN
L1=1e-5	256	256	Animation	base	5	1.44068009235	0.92587249821	0.304375340848	NaN	0.932012377815	NaN
L1=1e-5	256	256	Animation	base	6	1.39209962664	0.930944624791	0.327193602347	NaN	0.934414114051	NaN
L1=1e-5	256	256	Animation	base	7	1.33813427099	0.9393671471	0.353235643267	NaN	0.940002771094	NaN
L1=1e-5	256	256	Animation	base	8	1.27636789456	0.944718473082	0.382597646027	NaN	0.934922174242	NaN
L1=1e-5	256	256	Animation	base	9	1.29708237086	0.943973940763	0.371633854377	NaN	0.914692161612	NaN
L1=1e-5	256	256	Animation	base	10	1.25707298559	0.944858073123	0.390388788041	NaN	0.932566624619	NaN
L1=1e-5	256	256	Animation	LR decay	1	1.83810702686	0.149046067894	0.092116787258	NaN	0.0498822225226	NaN
L1=1e-5	256	256	Animation	LR decay	2	1.81081078528	0.048441135404	0.0919506861369	NaN	0.0498822225226	NaN
L1=1e-5	256	256	Animation	LR decay	3	1.81028381605	0.0484411353929	0.0920199588555	NaN	0.0498822225226	NaN
L1=1e-5	256	256	Animation	LR decay	4	1.81000966784	0.0484411354271	0.0920478440748	NaN	0.0498822225226	NaN
L1=1e-5	256	256	Animation	LR decay	5	1.80972450599	0.0484411353609	0.0920557373981	NaN	0.0498822225226	NaN
L1=1e-5	256	256	Animation	LR decay	6	1.80819854589	0.0484411353962	0.0919867853125	NaN	0.0498822225226	NaN
L1=1e-5	256	256	Animation	LR decay	7	1.81156350039	0.0484411353785	0.0921752776828	NaN	0.0498822225226	NaN
L1=1e-5	256	256	Animation	LR decay	8	1.80914022449	0.0484411353983	0.0920437104005	NaN	0.0498822225226	NaN
L1=1e-5	256	256	Animation	LR decay	9	1.80984579245	0.0484411353674	0.092082105801	NaN	0.0498822225226	NaN
L1=1e-5	256	256	Animation	LR decay	10	1.80985611217	0.048441135374	0.0920826999842	NaN	0.0498822225226	NaN
L1=1e-5	256	256	Animation	Reduce LR on Plateau	1	1.7584553578	0.6989297342	0.134871418937	NaN	0.859821716782	NaN
L1=1e-5	256	256	Animation	Reduce LR on Plateau	2	1.62001618816	0.893159608505	0.216315289889	NaN	0.911320492688	NaN
L1=1e-5	256	256	Animation	Reduce LR on Plateau	3	1.55831643176	0.910004653427	0.246205461011	NaN	0.880836912272	NaN
L1=1e-5	256	256	Animation	Reduce LR on Plateau	4	1.49266352662	0.913168915625	0.277587908458	NaN	0.923744861256	NaN
L1=1e-5	256	256	Animation	Reduce LR on Plateau	5	1.44197938025	0.917217309761	0.301508666768	NaN	0.941804073057	NaN
L1=1e-5	256	256	Animation	Reduce LR on Plateau	6	1.40502173327	0.93038622664	0.320028979431	NaN	0.928825457929	NaN
L1=1e-5	256	256	Animation	Reduce LR on Plateau	7	1.36908244439	0.935365285997	0.337315645408	NaN	0.930164888092	NaN
L1=1e-5	256	256	Animation	Reduce LR on Plateau	8	1.31481647255	0.941135411886	0.363391239419	NaN	0.936631101719	NaN
L1=1e-5	256	256	Animation	Reduce LR on Plateau	9	1.29410980788	0.942624475874	0.372626840907	NaN	0.914784536729	NaN
L1=1e-5	256	256	Animation	Reduce LR on Plateau	10	1.24773781637	0.944625408758	0.397128112683	NaN	0.935892106639	NaN
L1=1e-5	256	4	Animation	base	1	1.78001529261	0.896928804161	0.114011457216	NaN	0.92240543132	NaN
L1=1e-5	256	4	Animation	base	2	1.70388192975	0.905490926068	0.167724847873	NaN	0.927347466443	NaN
L1=1e-5	256	4	Animation	base	3	1.61963748267	0.902885061988	0.215264587662	NaN	0.926423721581	NaN
L1=1e-5	256	4	Animation	base	4	1.5646257871	0.907631455682	0.243318404026	NaN	0.927624589901	NaN
L1=1e-5	256	4	Animation	base	5	1.50268644897	0.917263843715	0.271666907929	NaN	0.912613735494	NaN
L1=1e-5	256	4	Animation	base	6	1.45653892389	0.927919962601	0.297234301996	NaN	0.931411943542	NaN
L1=1e-5	256	4	Animation	base	7	1.41512556705	0.931037691356	0.317302068484	NaN	0.916724400354	NaN
L1=1e-5	256	4	Animation	base	8	1.35206627675	0.939739413747	0.347582541504	NaN	0.922774929198	NaN
L1=1e-5	256	4	Animation	base	9	1.29276532585	0.943834341837	0.376190567682	NaN	0.916955337041	NaN
L1=1e-5	256	4	Animation	base	10	1.28463341006	0.943927407925	0.378700986886	NaN	0.942496882221	NaN
L1=1e-5	256	64	Animation	base	1	1.73761381912	0.835504885172	0.145027947721	NaN	0.910904808555	NaN
L1=1e-5	256	64	Animation	base	2	1.60141365201	0.896091205495	0.219207700787	NaN	0.926238972609	NaN
